顧,コ,かえり（みる）
鼓,コ,つづみ
五,ゴ,いつ・いつ（つ）
互,ゴ,たが（い）
午,ゴ,-
呉,ゴ,-
後,ゴ・コウ,のち・うしろ・あと・おく（れる）
娯,ゴ,-
悟,ゴ,さと（る）
碁,ゴ,-
語,ゴ,かた（る）・かた（らう）
誤,ゴ,あやま（る）・あやま（ち）
護,ゴ,まも（る）
交,コウ,まじ（わる）・まじ（える）・ま（じる）・ま（ざる）・ま（ぜる）・か（わす）・か（う）
候,コウ,そうろう
光,コウ,ひか（る）・ひかり
公,コウ,おおやけ
功,コウ・ク,-
効,コウ,き（く）
勾,コウ,-
厚,コウ,あつ（い）
口,コウ・ク,くち
向,コウ,む（く）・む（ける）・む（かう）・む（こう）
后,コウ,-
喉,コウ,のど
坑,コウ,-
好,コウ,この（む）・す（く）
孔,コウ,-
孝,コウ,-
宏,コウ,-
工,コウ・ク,-
巧,コウ,たく（み）
幸,コウ,さいわ（い）・さち・しあわ（せ）
広,コウ,ひろ（い）・ひろ（まる）・ひろ（める）・ひろ（がる）・ひろ（げる）
康,コウ,-
控,コウ,ひか（える）
攻,コウ,せ（める）
效,コウ,き（く）
校,コウ,-
構,コウ,かま（える）・かま（う）
江,コウ,え
洪,コウ,-
港,コウ,みなと
溝,コウ,みぞ
甲,コウ・カン,-
紅,コウ・ク,べに・くれない
絞,コウ,しぼ（る）・し（める）・し（まる）
綱,コウ,つな
考,コウ,かんが（える）
肯,コウ,-
荒,コウ,あら（う）・あら（す）・あら（い）
行,コウ・ギョウ・アン,い（く）・ゆ（く）・おこな（う）
香,コウ・キョウ,か・かお（り）・かお（る）
高,コウ,たか（い）・たか・たか（まる）・たか（める）
剛,ゴウ,-
号,ゴウ,-
合,ゴウ・ガッ・カッ,あ（う）・あ（わす）・あ（合わせる）
拷,ゴウ,-
豪,ゴウ,-
克,コク,-
告,コク,つ（げる）
国,コク,くに
穀,コク,-
酷,コク,-
黒,コク,くろ・くろ（い）
獄,ゴク,-
骨,コツ,ほね
込,-,こ（む）・こ（める）
今,コン・キン,いま
困,コン,こま（る）
墾,コン,-
婚,コン,-
恨,コン,うら（む）・うら（めしい）
懇,コン,ねんご（ろ）
昆,コン,-
根,コン,ね
混,コン,ま（ざる）・ま（じる）・ま（ぜる）
紺,コン,-
魂,コン,たましい
些,サ,-
佐,サ,-
査,サ,-
沙,サ,-
唆,サ,そそ（る）
詐,サ,-
鎖,サ,くさり
差,サ,さ（す）
左,サ,ひだり
砂,サ・シャ,すな
茶,チャ・サ,-
詐,サ,-
再,サイ・サ,ふたた（び）
最,サイ,もっと（も）
哉,サイ,かな
災,サイ,わざわ（い）
才,サイ,-
採,サイ,と（る）
栽,サイ,-
歳,サイ・セイ,-
済,サイ,す（む）・す（ます）
災,サイ,わざわ（い）
砕,サイ,くだ（く）・くだ（れる）
祭,サイ,まつ（る）・まつ（り）
斎,サイ,-
細,サイ,ほそ（い）・ほそ（る）・こま（か）・こま（かい）
菜,サイ,な
裁,サイ,さば（く）
載,サイ,の（せる）・の（る）
際,サイ,きわ
材,ザイ,-
在,ザイ,あ（る）
財,ザイ・サイ,-
罪,ザイ,つみ
坂,ハン,さか
咲,ショウ,さ（く）
崎,-,さき
作,サク・サ,つく（る）
削,サク,けず（る）
搾,サク,しぼ（る）
昨,サク,-
策,サク,-
索,サク,-
錯,サク,-
桜,オウ,さくら
冊,サツ・サク,-
刷,サツ,す（る）
察,サツ,-
拶,サツ,-
撮,サツ,と（る）
擦,サツ,す（る）・す（れる）
札,サツ,ふだ
殺,サツ・サイ,ころ（す）
雑,ザツ・ゾウ,-
皿,ベイ,さら
三,サン,み・み（つ）・みっ（つ）
参,サン,まい（る）
山,サン,やま
惨,サン,みじ（め）
散,サン,ち（る）・ち（らす）・ちら（かる）・ちら（かす）
算,サン,-
酸,サン,す（い）
賛,サン,-
暫,ザン,-
残,ザン,のこ（る）・のこ（す）
仕,シ・ジ,つか（える）
司,シ,-
史,シ,-
使,シ,つか（う）
始,シ,はじ（まる）・はじ（める）
姉,シ,あね
姿,シ,すがた
子,シ・ス,こ
市,シ,いち
師,シ,-
志,シ,こころざ（す）・こころざし
思,シ,おも（う）
指,シ,ゆび・さ（す）
支,シ,ささ（える）
孜,シ,-
斯,シ,-
施,シ,ほどこ（す）
旨,シ,むね
枝,シ,えだ
止,シ,と（まる）・と（める）
死,シ,し（ぬ）
糸,シ,いと
紙,シ,かみ
紫,シ,むらさき
肢,シ,-
脂,シ,あぶら
至,シ,いた（る）
視,シ,み（る）
詞,シ,-
詩,シ,-
試,シ,こころ（みる）・ため（す）
誌,シ,-
諮,シ,はか（る）
資,シ,-
飼,シ,か（う）
歯,シ,は
事,ジ・ズ,こと
似,ジ,に（る）
侍,ジ,さむらい
児,ジ・ニ,-
字,ジ,あざ
寺,ジ,てら
慈,ジ,いつく（しむ）
持,ジ,も（つ）
時,ジ,とき
次,ジ・シ,つぎ・つ（ぐ）
滋,ジ,-
治,ジ・チ,おさ（める）・おさ（まる）・なお（る）・なお（す）
爾,ジ,-
璽,ジ,-
痔,ジ,-
磁,ジ,-
示,ジ・シ,しめ（す）
耳,ジ,みみ
自,ジ・シ,みずか（ら）
辞,ジ,や（める）
汐,-,しお
鹿,ロク,しか
式,シキ,-
識,シキ,-
軸,ジク,-
七,シチ,なな・なな（つ）・とお
𠮟,シツ,しか（る）
失,シツ,うしな（う）
室,シツ,むろ
悉,シツ,ことごと（く）
湿,シツ,しめ（る）・しめ（す）
嫉,シツ,-
漆,シツ,うるし
疾,シツ,-
質,シツ・シチ・チ,-
実,ジツ,み・みの（る）
芝,-,しば
車,シャ,くるま
写,シャ,うつ（す）・うつ（る）
社,シャ,やしろ
舎,シャ,-
謝,シャ,あやま（る）
射,シャ,い（る）
捨,シャ,す（てる）
赦,シャ,-
斜,シャ,なな（め）
煮,シャ,に（る）・に（える）・に（やす）
遮,シャ,さえぎ（る）
邪,ジャ,-
蛇,ジャ・ダ,へび
尺,シャク,-
借,シャク,か（りる）
酌,シャク,く（む）
釈,シャク,-
爵,シャク,-
若,ジャク・ニャク,わか（い）・も（しくハ）
弱,ジャク,よわ（い）・よわ（る）・よわ（まる）・よわ（める）
主,シュ・ス,ぬし・おも
取,シュ,と（る）
守,シュ・ス,まも（る）・もり
手,シュ,て・た
朱,シュ,-
殊,シュ,こと
狩,シュ,か（る）・か（り）
珠,シュ,たま
種,シュ,たね
趣,シュ,おもむき
酒,シュ,さけ・さか
首,シュ,くび
儒,ジュ,-
受,ジュ,う（ける）・う（かる）
寿,ジュ,ことぶき
授,ジュ,さず（ける）・さず（かる）
樹,ジュ,き
儒,ジュ,-
需要,ジュヨウ,-
囚,シュウ,とら（われる）
収,シュウ,おさ（める）・おさ（まる）
周,シュウ,まわ（り）
宗,シュウ・ソウ,-
就,シュウ・ジュ,つ（く）・つ（ける）
修,シュウ・シュ,おさ（める）・おさ（まる）
愁,シュウ,うれ（える）・うれ（い）
終,シュウ,お（わる）・お（える）
秀,シュウ,ひい（でる）
秋,シュウ,あき
臭,シュウ,くさ（い）・にお（い）
衆,シュウ・シュ,-
襲,シュウ,おそ（う）
週,シュウ,-
酬,シュウ,-
集,シュウ,あつ（まる）・あつ（める）・つど（う）
醜,シュウ,みにく（い）
十,ジュウ・ジッ,とお・と
従,ジュウ・ショウ・ジュ,したが（う）・したが（える）
柔,ジュウ・ニュウ,やわ（らか）・やわ（らかい）
汁,ジュウ,しる
重,ジュウ・チョウ,え・おも（い）・かさ（ねる）・かさ（なる）
銃,ジュウ,-
充,ジュウ,あ（てる）
住,ジュウ,す（む）・す（まう）
縦,ジュウ,たて
祝,シュク・シュウ,いわ（う）
宿,シュク,やど・やど（る）・やど（す）
縮,シュク,ちぢ（む）・ちぢ（まる）・ちぢ（める）・ちぢ（れる）・ちぢ（らす）
熟,ジュク,う（れる）
出,シュツ・スイ,で（る）・だ（す）
術,ジュツ,わざ
述,ジュツ,の（べる）
俊,シュン,-
春,シュン,はる
瞬,シュン,まばた（き）
旬,ジュン・シュン,-
巡,ジュン,めぐ（る）
順,ジュン,-
准,ジュン,-
準,ジュン,-
潤,ジュン,うるお（う）・うるお（す）・うる（む）
盾,ジュン,たて
純,ジュン,-
処,ショ,-
初,ショ,はじめ・はじ（めて）・うい
所,ショ,ところ
書,ショ,か（く）
庶,ショ,-
暑,ショ,あつ（い）
署,ショ,-
緒,ショ・チョ,お
諸,ショ,-
助,ジョ,たす（ける）・たす（かる）・すけ
叙,ジョ,-
女,ジョ・ニョ,おんな・め
序,ジョ,ついで
徐,ジョ,-
除,ジョ・ジ,のぞ（く）
傷,ショウ,きず・いた（む）・いた（める）
償,ショウ,つぐな（う）
勝,ショウ,か（つ）・まさ（る）
匠,ショウ,たくみ
升,ショウ,ます
召,ショウ,め（す）
哨,ショウ,-
商,ショウ,あきな（う）
唱,ショウ,とな（える）
宵,ショウ,よい
将,ショウ,-
小,ショウ,ちい（さい）・こ・お
少,ショウ,すく（ない）・すこ（し）
尚,ショウ,たっと（ぶ）
庄,ショウ,-
床,ショウ,とこ・ゆか
彰,ショウ,-
承,ショウ,うけたまわ（る）
抄,ショウ,-
招,ショウ,まね（く）
掌,ショウ,-
昇,ショウ,あ（がる）
昌,ショウ,-
星,セイ・ショウ,ほし
昭,ショウ,-
晶,ショウ,-
松,ショウ,まつ
消,ショウ,き（える）・け（す）
渉,ショウ,-
章,ショウ,-
焦,ショウ,こ（げる）・こ（がす）・こ（がれる）・あせ（る）
症,ショウ,-
硝,ショウ,-
礁,ショウ,-
祥,ショウ,-
称,ショウ,-
章,ショウ,-
紹,ショウ,-
証,ショウ,-
詔,ショウ,みことのり
詳,ショウ,くわ（しい）
象,ショウ・ゾウ,-
賞,ショウ,-
鐘,ショウ,かね
障,ショウ,さわ（る）
上,ジョウ・ショウ,うえ・うわ・かみ・あ（げる）・あ（がる）・のぼ（る）・のぼ（せる）・のぼ（す）
丈,ジョウ,たけ
乗,ジョウ,の（る）・の（せる）
冗,ジョウ,-
剰,ジョウ,-
城,ジョウ,しろ
場,ジョウ,ば
常,ジョウ,つね・とこ
情,ジョウ・セイ,なさ（け）
条,ジョウ,-
状,ジョウ,-
畳,ジョウ,たた（む）・たたみ
蒸,ジョウ,む（す）・む（れる）・む（らす）
譲,ジョウ,ゆず（る）
醸,ジョウ,かも（す）
錠,ジョウ,-
嘱,ショク,-
飾,ショク,かざ（る）
拭,ショク,ぬぐ（う）・ふ（く）
殖,ショク,ふ（える）・ふ（やす）
植,ショク,う（える）・う（わる）
織,シキ・ショク,お（る）
職,ショク,-
色,ショク・シキ,いろ
触,ショク,ふ（れる）・さわ（る）
食,ショク・ジキ,く（う）・く（らう）・た（べる）
辱,ジョク,はずかし（める）
尻,-,しり
伸,シン,の（びる）・の（ばす）・の（べる）
信,シン,-
侵,シン,おか（す）
唇,シン,くちびる
娠,シン,-
寝,シン,ね（る）・ね（かす）
審,シン,-
心,シン,こころ
慎,シン,つつし（む）
振,シン,ふ（る）・ふ（るう）・ふ（れる）
新,シン,あたら（しい）・あら（た）・にい
森林,シンリン,-
津,シン,つ
臣,シン,-
薪,シン,たきぎ
親,シン,おや・した（しい）・した（しむ）
診,シン,み（る）
身,シン,み
辛,シン,から（い）
進,シン,すす（む）・すす（める）
針,シン,はり
震,シン,ふる（う）・ふる（える）
人,ジン・ニン,ひと
刃,ジン,は
仁,ジン・ニ,-
尽,ジン,つ（くす）・つ（きる）・つ（く）
迅,ジン,-
陣,ジン,-
神,シン・ジン,かみ・かん・こう
