百戦百勝,ひゃくせんひゃくしょう,戦うたびに必ず勝利を収め、一度も負けたことがないこと,ウ（上の字が下の字を修飾）
百発百中,ひゃっぱつひゃくちゅう,計画や予想がすべて的中し、狙ったものがすべて当たること,ウ（上の字が下の字を修飾）
表現自由,ひょうげんじゆう,自分の考えや意見を、外部に向けて自由に発表できる権利,エ（下の字が上の字を修飾）
平面交差,へいめんこうさ,道路や鉄道が、立体ではなく同じ高さの場所で十字に交わっていること,ウ（上の字が下の字を修飾）
暴飲暴食,ぼういんぼうしょく,お酒を大量に飲み、食べ物を過剰に食べること。不摂生な飲食,ア（同じような意味の重ね）
防水加工,ぼうすいかこう,衣服や布地に、水がしみ込まないように特殊な処理を施すこと,エ（下の字が上の字を修飾）
抱腹絶倒,ほうふくぜっとう,お腹を抱えて、ひっくり返るほどに大笑いすること,ア（同じような意味の重ね）
本末転倒,ほんまつてんとう,物事の根本的な大事な部分と、些細な部分があべこべになること,イ（反対・対応の組み合わせ）
満場一致,まんじょういっち,会場にいるすべての人々の意見が、完全に一つにまとまること,エ（下の字が上の字を修飾）
無我夢中,むがむちゅう,ある事にすっかり心を奪われて、自分の存在を忘れるほど集中するさま,ア（同じような意味の重ね）
無味乾燥,むみかんそう,何の面白みも味わいもなく、魅力や潤いがまったく感じられないさま,ア（同じような意味の重ね）
無名戦士,むめいせんし,名前が知られていない、または戦死して名前が分からない兵士のこと,ウ（上の字が下の字を修飾）
無名投票,むめいとうひょう,自分の名前を書かずに、候補者や賛否だけを記入して行う投票,ウ（上の字が下の字を修飾）
明白事実,めいはくじじつ,誰もが疑う余地のない、はっきりと証明されている本当の事柄,ウ（上の字が下の字を修飾）
名実一体,めいじついったい,世間の評判や名称と、実際の本当の実力がぴったり一致すること,イ（反対・対応の組み合わせ）
命令口調,めいれいくちょう,相手に対対して上から目線で、〜しろと指示するような話し方のこと,ウ（上の字が下の字を修飾）
面目躍如,めんぼくやくじょ,実力を発揮して評価が高まり、世間に対して大いに顔が立つさま,エ（下の字が上の字を修飾）
門戸開放,もんこかいほう,制限を完全になくして、誰にでも自由に出入りや参加を認めること,エ（下の字が上の字を修飾）
用紙変更,ようしへんこう,試験や事務手続きに使う、指定の紙のサイズや種類を別のものに変えること,エ（下の字が上の字を修飾）
用意周到,よういしゅうとう,事前の準備が隅々まで行き届いており、手落ちやミスがまったくないさま,エ（下の字が上の字を修飾）
有名無実,ゆうめいむじつ,名前や評判ばかりが立派で、それに見合う中身や実質が伴っていないこと,イ（反対・対応の組み合わせ）
融通無碍,ゆうずうむげ,考え方や行動が特定の規則にとらわれず、自由で伸び伸びしているさま,ア（同じような意味の重ね）
有言実行,ゆうげんじっこう,自分が口に出して言ったことは、責任を持って必ず成し遂げること,イ（反対・対応の組み合わせ）
有力候補,ゆうりょくこうほう,選挙や大会などで、当選や優勝をする可能性が極めて高い人物,ウ（上の字が下の字を修飾）
予想的中,よそうてきちゅう,事前に考えていた通りの結果に、物事がぴったりと収まること,エ（下の字が上の字を修飾）
余生自適,よせいじてき,引退した後の人生を、他人に邪魔されず自分の思う通りに楽しむこと,エ（下の字が上の字を修飾）
落花流水,らっかりゅうすi,行く春の自然の景色。または、男女の気持ちが互いに通じ合うこと,ア（同じような意味の重ね）
離合集散,りごうしゅうさん,人々が状況に応じて、離れたり集まったりを繰り返すこと,ア（同じような意味の重ね）
利害得失,りがいとくしつ,自分の利益になることと、損になること。メリットとデメリット,イ（反対・対応の組み合わせ）
理想郷土,りそうきょうど,人々が争いなく幸せに暮らせる、誰もが憧れる完璧な理想の土地,ウ（上の字が下の字を修飾）
立体交差,りったいこうさ,道路と線路などが、同じ高さではなく高架や地下で交わっている場所,ウ（上の字が下の字を修飾）
立身出世,りっしんしゅっせ,社会的に高い地位につき、世間から実力を認められて有名になること,ア（同じような意味の重ね）
臨床心理,りんしょうしんり,実際の医療現場などで、患者の心の悩みや問題を解決するための心理学,ウ（上の字が下の字を修飾）
臨機応変,りんきおうへん,その場の状況や変化に応じて、適切な処置や行動をとること,エ（下の字が上の字を修飾）
老若男女,ろうにゃくなんにょ,年齢や性別を問わず、世の中のすべての人々のこと,イ（反対・対応の組み合わせ）
話術巧妙,わじゅつこうみょう,言葉の操り方や話し方が非常に上手で、人を惹きつけるさま,エ（下の字が上の字を修飾）
和洋折衷,わようせっちゅう,日本風の様式と西洋風の様式を、上手く半分ずつ組み合わせて取り入れること,イ（反対・対応の組み合わせ）
